img_name,img_type1,img_type2,evolution,name_clean,name,pokedex_number,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,base_total,generation,is_legendary,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,capture_rate,base_egg_steps,height_m,weight_kg,classfication,abilities,final_type1,final_type2
metapod,Bug,,butterfree,metapod,Metapod,11.0,bug,,50.0,20.0,55.0,25.0,25.0,30.0,205.0,1.0,0.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,120,3840.0,0.7,9.9,Cocoon Pokémon,['Shed Skin'],bug,
butterfree,Bug,Flying,,butterfree,Butterfree,12.0,bug,flying,60.0,45.0,50.0,90.0,80.0,70.0,395.0,1.0,0.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,45,3840.0,1.1,32.0,Butterfly Pokémon,"['Compoundeyes', 'Tinted Lens']",bug,flying
weedle,Bug,Poison,kakuna,weedle,Weedle,13.0,bug,poison,40.0,35.0,30.0,20.0,20.0,50.0,195.0,1.0,0.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,255,3840.0,0.3,3.2,Hairy Pokémon,"['Shield Dust', 'Run Away']",bug,poison
kakuna,Bug,Poison,beedrill,kakuna,Kakuna,14.0,bug,poison,45.0,25.0,50.0,25.0,25.0,35.0,205.0,1.0,0.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,120,3840.0,0.6,10.0,Cocoon Pokémon,['Shed Skin'],bug,poison
beedrill,Bug,Poison,,beedrill,Beedrill,15.0,bug,poison,65.0,150.0,40.0,15.0,80.0,145.0,495.0,1.0,0.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,45,3840.0,1.0,29.5,Poison Bee Pokémon,"['Swarm', 'Sniper']",bug,poison
pidgey,Normal,Flying,pidgeotto,pidgey,Pidgey,16.0,normal,flying,40.0,45.0,40.0,35.0,35.0,56.0,251.0,1.0,0.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,255,3840.0,0.3,1.8,Tiny Bird Pokémon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",normal,flying
pidgeotto,Normal,Flying,pidgeot,pidgeotto,Pidgeotto,17.0,normal,flying,63.0,60.0,55.0,50.0,50.0,71.0,349.0,1.0,0.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,120,3840.0,1.1,30.0,Bird Pokémon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",normal,flying
pidgeot,Normal,Flying,,pidgeot,Pidgeot,18.0,normal,flying,83.0,80.0,80.0,135.0,80.0,121.0,579.0,1.0,0.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,45,3840.0,1.5,39.5,Bird Pokémon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",normal,flying
rattata,Normal,,raticate,rattata,Rattata,19.0,normal,dark,30.0,56.0,35.0,25.0,35.0,72.0,253.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,255,3840.0,,,Mouse Pokémon,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",normal,dark
raticate,Normal,,,raticate,Raticate,20.0,normal,dark,75.0,71.0,70.0,40.0,80.0,77.0,413.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,127,3840.0,,,Mouse Pokémon,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",normal,dark
spearow,Normal,Flying,fearow,spearow,Spearow,21.0,normal,flying,40.0,60.0,30.0,31.0,31.0,70.0,262.0,1.0,0.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,255,3840.0,0.3,2.0,Tiny Bird Pokémon,"['Keen Eye', 'Sniper']",normal,flying
fearow,Normal,Flying,,fearow,Fearow,22.0,normal,flying,65.0,90.0,65.0,61.0,61.0,100.0,442.0,1.0,0.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,90,3840.0,1.2,38.0,Beak Pokémon,"['Keen Eye', 'Sniper']",normal,flying
ekans,Poison,,arbok,ekans,Ekans,23.0,poison,,35.0,60.0,44.0,40.0,54.0,55.0,288.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,255,5120.0,2.0,6.9,Snake Pokémon,"['Intimidate', 'Shed Skin', 'Unnerve']",poison,
arbok,Poison,,,arbok,Arbok,24.0,poison,,60.0,95.0,69.0,65.0,79.0,80.0,448.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,90,5120.0,3.5,65.0,Cobra Pokémon,"['Intimidate', 'Shed Skin', 'Unnerve']",poison,
pikachu,Electric,,raichu,pikachu,Pikachu,25.0,electric,,35.0,55.0,40.0,50.0,50.0,90.0,320.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,190,2560.0,0.4,6.0,Mouse Pokémon,"['Static', 'Lightningrod']",electric,
raichu,Electric,,,raichu,Raichu,26.0,electric,electric,60.0,85.0,50.0,95.0,85.0,110.0,485.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,75,2560.0,,,Mouse Pokémon,"['Static', 'Lightningrod', 'Surge Surfer']",electric,electric
sandshrew,Ground,,sandslash,sandshrew,Sandshrew,27.0,ground,ice,50.0,75.0,90.0,10.0,35.0,40.0,300.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,255,5120.0,,,Mouse Pokémon,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",ground,ice
sandslash,Ground,,,sandslash,Sandslash,28.0,ground,ice,75.0,100.0,120.0,25.0,65.0,65.0,450.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,90,5120.0,,,Mouse Pokémon,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",ground,ice
nidoran-f,Poison,,nidorina,nidoran-f,Nidoran♀,29.0,poison,,55.0,47.0,52.0,40.0,40.0,41.0,275.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,235,5120.0,0.4,7.0,Poison Pin Pokémon,"['Poison Point', 'Rivalry', 'Hustle']",poison,
nidorina,Poison,,nidoqueen,nidorina,Nidorina,30.0,poison,,70.0,62.0,67.0,55.0,55.0,56.0,365.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,120,5120.0,0.8,20.0,Poison Pin Pokémon,"['Poison Point', 'Rivalry', 'Hustle']",poison,
nidoqueen,Poison,Ground,,nidoqueen,Nidoqueen,31.0,poison,ground,90.0,92.0,87.0,75.0,85.0,76.0,505.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,45,5120.0,1.3,60.0,Drill Pokémon,"['Poison Point', 'Rivalry', 'Sheer Force']",poison,ground
nidoran-m,Poison,,nidorino,nidoran-m,Nidoran♂,32.0,poison,,46.0,57.0,40.0,40.0,40.0,50.0,273.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,235,5120.0,0.5,9.0,Poison Pin Pokémon,"['Poison Point', 'Rivalry', 'Hustle']",poison,
nidorino,Poison,,nidoking,nidorino,Nidorino,33.0,poison,,61.0,72.0,57.0,55.0,55.0,65.0,365.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,120,5120.0,0.9,19.5,Poison Pin Pokémon,"['Poison Point', 'Rivalry', 'Hustle']",poison,
nidoking,Poison,Ground,,nidoking,Nidoking,34.0,poison,ground,81.0,102.0,77.0,85.0,75.0,85.0,505.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,45,5120.0,1.4,62.0,Drill Pokémon,"['Poison Point', 'Rivalry', 'Sheer Force']",poison,ground
clefairy,Fairy,,clefable,clefairy,Clefairy,35.0,fairy,,70.0,45.0,48.0,60.0,65.0,35.0,323.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,150,2560.0,0.6,7.5,Fairy Pokémon,"['Cute Charm', 'Magic Guard', 'Friend Guard']",fairy,
clefable,Fairy,,,clefable,Clefable,36.0,fairy,,95.0,70.0,73.0,95.0,90.0,60.0,483.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,25,2560.0,1.3,40.0,Fairy Pokémon,"['Cute Charm', 'Magic Guard', 'Unaware']",fairy,
vulpix,Fire,,ninetales,vulpix,Vulpix,37.0,fire,ice,38.0,41.0,40.0,50.0,65.0,65.0,299.0,1.0,0.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,190,5120.0,,,Fox Pokémon,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",fire,ice
ninetales,Fire,,,ninetales,Ninetales,38.0,fire,ice,73.0,67.0,75.0,81.0,100.0,109.0,505.0,1.0,0.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,75,5120.0,,,Fox Pokémon,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",fire,ice
jigglypuff,Normal,Fairy,,jigglypuff,Jigglypuff,39.0,normal,fairy,115.0,45.0,20.0,45.0,25.0,20.0,270.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,170,2560.0,0.5,5.5,Balloon Pokémon,"['Cute Charm', 'Competitive', 'Friend Guard']",normal,fairy
wigglytuff,Normal,Fairy,,wigglytuff,Wigglytuff,40.0,normal,fairy,140.0,70.0,45.0,85.0,50.0,45.0,435.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,50,2560.0,1.0,12.0,Balloon Pokémon,"['Cute Charm', 'Competitive', 'Frisk']",normal,fairy
zubat,Poison,Flying,,zubat,Zubat,41.0,poison,flying,40.0,45.0,35.0,30.0,40.0,55.0,245.0,1.0,0.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,255,3840.0,0.8,7.5,Bat Pokémon,"['Inner Focus', 'Infiltrator']",poison,flying
golbat,Poison,Flying,,golbat,Golbat,42.0,poison,flying,75.0,80.0,70.0,65.0,75.0,90.0,455.0,1.0,0.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,90,3840.0,1.6,55.0,Bat Pokémon,"['Inner Focus', 'Infiltrator']",poison,flying
oddish,Grass,Poison,,oddish,Oddish,43.0,grass,poison,45.0,50.0,55.0,75.0,65.0,30.0,320.0,1.0,0.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,255,5120.0,0.5,5.4,Weed Pokémon,"['Chlorophyll', 'Run Away']",grass,poison
gloom,Grass,Poison,,gloom,Gloom,44.0,grass,poison,60.0,65.0,70.0,85.0,75.0,40.0,395.0,1.0,0.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,120,5120.0,0.8,8.6,Weed Pokémon,"['Chlorophyll', 'Stench']",grass,poison
vileplume,Grass,Poison,,vileplume,Vileplume,45.0,grass,poison,75.0,80.0,85.0,110.0,90.0,50.0,490.0,1.0,0.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,45,5120.0,1.2,18.6,Flower Pokémon,"['Chlorophyll', 'Effect Spore']",grass,poison
paras,Bug,Grass,,paras,Paras,46.0,bug,grass,35.0,70.0,55.0,45.0,55.0,25.0,285.0,1.0,0.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,190,5120.0,0.3,5.4,Mushroom Pokémon,"['Effect Spore', 'Dry Skin', 'Damp']",bug,grass
parasect,Bug,Grass,,parasect,Parasect,47.0,bug,grass,60.0,95.0,80.0,60.0,80.0,30.0,405.0,1.0,0.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,75,5120.0,1.0,29.5,Mushroom Pokémon,"['Effect Spore', 'Dry Skin', 'Damp']",bug,grass
venonat,Bug,Poison,,venonat,Venonat,48.0,bug,poison,60.0,55.0,50.0,40.0,55.0,45.0,305.0,1.0,0.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,190,5120.0,1.0,30.0,Insect Pokémon,"['Compoundeyes', 'Tinted Lens', 'Run Away']",bug,poison
venomoth,Bug,Poison,,venomoth,Venomoth,49.0,bug,poison,70.0,65.0,60.0,90.0,75.0,90.0,450.0,1.0,0.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,75,5120.0,1.5,12.5,Poison Moth Pokémon,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",bug,poison
diglett,Ground,,dugtrio,diglett,Diglett,50.0,ground,ground,10.0,55.0,30.0,35.0,45.0,90.0,265.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,255,5120.0,,,Mole Pokémon,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",ground,ground
dugtrio,Ground,,,dugtrio,Dugtrio,51.0,ground,ground,35.0,100.0,60.0,50.0,70.0,110.0,425.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,50,5120.0,,,Mole Pokémon,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",ground,ground
meowth,Normal,,persian,meowth,Meowth,52.0,normal,dark,40.0,35.0,35.0,50.0,40.0,90.0,290.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,255,5120.0,,,Scratch Cat Pokémon,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",normal,dark
persian,Normal,,,persian,Persian,53.0,normal,dark,65.0,60.0,60.0,75.0,65.0,115.0,440.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,90,5120.0,,,Classy Cat Pokémon,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",normal,dark
psyduck,Water,,golduck,psyduck,Psyduck,54.0,water,,50.0,52.0,48.0,65.0,50.0,55.0,320.0,1.0,0.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,190,5120.0,0.8,19.6,Duck Pokémon,"['Damp', 'Cloud Nine', 'Swift Swim']",water,
golduck,Water,,,golduck,Golduck,55.0,water,,80.0,82.0,78.0,95.0,80.0,85.0,500.0,1.0,0.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,75,5120.0,1.7,76.6,Duck Pokémon,"['Damp', 'Cloud Nine', 'Swift Swim']",water,
mankey,Fighting,,primeape,mankey,Mankey,56.0,fighting,,40.0,80.0,35.0,35.0,45.0,70.0,305.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,190,5120.0,0.5,28.0,Pig Monkey Pokémon,"['Vital Spirit', 'Anger Point', 'Defiant']",fighting,
primeape,Fighting,,,primeape,Primeape,57.0,fighting,,65.0,105.0,60.0,60.0,70.0,95.0,455.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,75,5120.0,1.0,32.0,Pig Monkey Pokémon,"['Vital Spirit', 'Anger Point', 'Defiant']",fighting,
growlithe,Fire,,arcanine,growlithe,Growlithe,58.0,fire,,55.0,70.0,45.0,70.0,50.0,60.0,350.0,1.0,0.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,190,5120.0,0.7,19.0,Puppy Pokémon,"['Intimidate', 'Flash Fire', 'Justified']",fire,
arcanine,Fire,,,arcanine,Arcanine,59.0,fire,,90.0,110.0,80.0,100.0,80.0,95.0,555.0,1.0,0.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,75,5120.0,1.9,155.0,Legendary Pokémon,"['Intimidate', 'Flash Fire', 'Justified']",fire,
poliwag,Water,,poliwhirl,poliwag,Poliwag,60.0,water,,40.0,50.0,40.0,40.0,40.0,90.0,300.0,1.0,0.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,255,5120.0,0.6,12.4,Tadpole Pokémon,"['Water Absorb', 'Damp', 'Swift Swim']",water,
poliwhirl,Water,,poliwrath,poliwhirl,Poliwhirl,61.0,water,,65.0,65.0,65.0,50.0,50.0,90.0,385.0,1.0,0.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,120,5120.0,1.0,20.0,Tadpole Pokémon,"['Water Absorb', 'Damp', 'Swift Swim']",water,
poliwrath,Water,Fighting,,poliwrath,Poliwrath,62.0,water,fighting,90.0,95.0,95.0,70.0,90.0,70.0,510.0,1.0,0.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0,45,5120.0,1.3,54.0,Tadpole Pokémon,"['Water Absorb', 'Damp', 'Swift Swim']",water,fighting
abra,Psychic,,kadabra,abra,Abra,63.0,psychic,,25.0,20.0,15.0,105.0,55.0,90.0,310.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,200,5120.0,0.9,19.5,Psi Pokémon,"['Synchronize', 'Inner Focus', 'Magic Guard']",psychic,
kadabra,Psychic,,alakazam,kadabra,Kadabra,64.0,psychic,,40.0,35.0,30.0,120.0,70.0,105.0,400.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,100,5120.0,1.3,56.5,Psi Pokémon,"['Synchronize', 'Inner Focus', 'Magic Guard']",psychic,
alakazam,Psychic,,,alakazam,Alakazam,65.0,psychic,,55.0,50.0,65.0,175.0,105.0,150.0,600.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,50,5120.0,1.5,48.0,Psi Pokémon,"['Synchronize', 'Inner Focus', 'Magic Guard']",psychic,
machop,Fighting,,,machop,Machop,66.0,fighting,,70.0,80.0,50.0,35.0,35.0,35.0,305.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,180,5120.0,0.8,19.5,Superpower Pokémon,"['Guts', 'No Guard', 'Steadfast']",fighting,
machoke,Fighting,,,machoke,Machoke,67.0,fighting,,80.0,100.0,70.0,50.0,60.0,45.0,405.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,90,5120.0,1.5,70.5,Superpower Pokémon,"['Guts', 'No Guard', 'Steadfast']",fighting,
machamp,Fighting,,,machamp,Machamp,68.0,fighting,,90.0,130.0,80.0,65.0,85.0,55.0,505.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,45,5120.0,1.6,130.0,Superpower Pokémon,"['Guts', 'No Guard', 'Steadfast']",fighting,
bellsprout,Grass,Poison,,bellsprout,Bellsprout,69.0,grass,poison,50.0,75.0,35.0,70.0,30.0,40.0,300.0,1.0,0.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,255,5120.0,0.7,4.0,Flower Pokémon,"['Chlorophyll', 'Gluttony']",grass,poison
weepinbell,Grass,Poison,,weepinbell,Weepinbell,70.0,grass,poison,65.0,90.0,50.0,85.0,45.0,55.0,390.0,1.0,0.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,120,5120.0,1.0,6.4,Flycatcher Pokémon,"['Chlorophyll', 'Gluttony']",grass,poison
